# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
1.000000000000000000e+00 4.700536031886136532e+07 4.700536017209829390e+07 1.467630704234544441e-02 0.000000000000000000e+00 6.246301412340712886e+02 1.532718446224144770e+00 1.853330069594211338e+01 1.728922138284734455e-02 1.078207957281235352e+01 1.000000000000000021e-03 4.253976000472903252e-01
2.000000000000000000e+00 3.953797213452816359e+05 3.953778543160001282e+05 1.867029281518156336e-01 0.000000000000000000e+00 5.556351135473088476e+01 2.372183906611988036e+01 4.080726917792421204e+02 4.099060325789665171e+00 2.236591246299512648e+02 1.000000000000000021e-03 3.456040000310167670e-02
3.000000000000000000e+00 1.518633969282875538e+09 1.518633967766791821e+09 1.516083815946542013e-01 0.000000000000000000e+00 7.032113130434672144e+01 1.873859110044437415e+01 3.239524362434202089e+02 2.569850710166035501e+00 1.781449585119884489e+02 1.000000000000000021e-03 3.161199996247887611e-02
4.000000000000000000e+00 1.616178656876969853e+03 1.615833302806353004e+03 3.453540706169518776e-02 0.000000000000000000e+00 3.265538968213775206e+02 4.170022936715950479e+00 7.602291093224768304e+01 1.291715665114621658e-01 4.205230683632833433e+01 1.000000000000000021e-03 2.820890001021325588e-02
5.000000000000000000e+00 1.447971575745521695e+05 1.447970939933453919e+05 6.358120676855403414e-03 0.000000000000000000e+00 1.375741858869964062e+03 7.664377517322519262e-01 9.962459934214050961e+00 4.177867876725153452e-03 5.743489850962552268e+00 1.000000000000000021e-03 3.179859998635947704e-02
6.000000000000000000e+00 3.556204091441209316e+08 3.556204089148894548e+08 2.292314753511266040e-02 0.000000000000000000e+00 4.246371480696585081e+02 2.654316285722686075e+00 3.806569053229946320e+01 5.107221930643408847e-02 2.163608933256598377e+01 1.000000000000000021e-03 2.815359999658539891e-02
7.000000000000000000e+00 1.307012145319207193e+05 1.307010882573005074e+05 1.262746202073428657e-02 0.000000000000000000e+00 7.019102863240988199e+02 1.417840251013391617e+00 1.779214251985764861e+01 1.469405950004803486e-02 1.029921745144216771e+01 1.000000000000000021e-03 3.264020005008205771e-02
8.000000000000000000e+00 1.900313321327359154e+04 1.900313235067829009e+04 8.625953021825824411e-05 0.000000000000000000e+00 1.931275150987613597e+04 4.556104621733884918e-02 3.217238832434821671e-01 1.068842975218892175e-05 2.064122994093277597e-01 1.000000000000000021e-03 2.675489999819546938e-02
9.000000000000000000e+00 8.956123644698232056e+01 8.956099118668515757e+01 2.452602971666236717e-05 0.000000000000000000e+00 1.821074204669929532e+04 5.692934366686568798e-02 1.563227220601417944e+00 4.604661094057488975e-05 8.384969073566340692e-01 1.000000000000000021e-03 2.909999998519197106e-02
1.000000000000000000e+01 5.233483434069878513e+02 5.233317106163442531e+02 1.663279064364714659e-03 0.000000000000000000e+00 1.849825628272997164e+03 1.967430604376786685e-01 6.327705920628139413e-01 2.773928248295127455e-04 5.128509636442560859e-01 1.000000000000000021e-03 2.816919999895617366e-02
1.100000000000000000e+01 4.009034944038146087e+00 4.002298097544578326e+00 6.736846493567720442e-04 0.000000000000000000e+00 1.897545992249796200e+03 1.030459730117745942e-01 2.696427449928718439e-02 6.140990033281727288e-05 1.164667003610853624e-01 1.000000000000000021e-03 2.757410000776872039e-02
1.200000000000000000e+01 4.309747536103622565e+02 4.309636379818862792e+02 1.111562847599212572e-03 0.000000000000000000e+00 6.706280814772912890e+03 2.179189100874217577e-01 6.849531462631995637e+00 5.431750834796020451e-04 3.642141466319940069e+00 1.000000000000000021e-03 2.726510004140436649e-02
1.300000000000000000e+01 1.269080180620825384e+06 1.269080165807584301e+06 1.481324119442307616e-03 0.000000000000000000e+00 5.804614776258355960e+03 2.616866850395458965e-01 8.034876800465829305e+00 7.371936382020320483e-04 4.278387891634258366e+00 1.000000000000000021e-03 2.867840003455057740e-02
