# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
1.000000000000000000e+00 1.532718446224144770e+00 1.853330069594211338e+01 1.728922138284734455e-02 6.246301412340712886e+02 1.078207957281235352e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+00 2.372183906611988036e+01 4.080726917792421204e+02 4.099060325789665171e+00 5.556351135473088476e+01 2.236591246299512648e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+00 1.873859110044437415e+01 3.239524362434202089e+02 2.569850710166035501e+00 7.032113130434672144e+01 1.781449585119884489e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+00 4.170022936715950479e+00 7.602291093224768304e+01 1.291715665114621658e-01 3.265538968213775206e+02 4.205230683632833433e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+00 7.664377517322519262e-01 9.962459934214050961e+00 4.177867876725153452e-03 1.375741858869964062e+03 5.743489850962552268e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.000000000000000000e+00 2.654316285722686075e+00 3.806569053229946320e+01 5.107221930643408847e-02 4.246371480696585081e+02 2.163608933256598377e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.000000000000000000e+00 1.417840251013391617e+00 1.779214251985764861e+01 1.469405950004803486e-02 7.019102863240988199e+02 1.029921745144216771e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.000000000000000000e+00 4.556104621733884918e-02 3.217238832434821671e-01 1.068842975218892175e-05 1.931275150987613597e+04 2.064122994093277597e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.000000000000000000e+00 5.692934366686568798e-02 1.563227220601417944e+00 4.604661094057488975e-05 1.821074204669929532e+04 8.384969073566340692e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.000000000000000000e+01 1.967430604376786685e-01 6.327705920628139413e-01 2.773928248295127455e-04 1.849825628272997164e+03 5.128509636442560859e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
