# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
1.000000000000000000e+00 4.037012053949104249e+07 4.037012041400485486e+07 1.254861886720810664e-02 0.000000000000000000e+00 7.470278203456018673e+02 1.275199506254497850e+00 1.589538572076320477e+01 1.234611632317668406e-02 9.210546250312923178e+00 1.000000000000000021e-03 6.647798000049078837e-01
2.000000000000000000e+00 4.637961769812746206e+04 4.637944410400130437e+04 1.735941261545345671e-02 0.000000000000000000e+00 8.195743068205640611e+02 1.951790591229517924e+00 4.739516240578529960e+01 3.129596862745186864e-02 2.561807582549471718e+01 1.000000000000000021e-03 1.664650000748224556e-02
3.000000000000000000e+00 1.819561588219188452e+08 1.819561586831542850e+08 1.387645698337642598e-02 0.000000000000000000e+00 1.030780951290301573e+03 1.561555958211966466e+00 3.845577668584980557e+01 2.016863454365645444e-02 2.076927566659321300e+01 1.000000000000000021e-03 1.195859999279491603e-02
4.000000000000000000e+00 9.618075006824885520e+01 9.617328796078163577e+01 7.462107467223396415e-04 0.000000000000000000e+00 1.076068601786098588e+04 1.341887823789969791e-01 4.468968085556578984e+00 2.201228454415718710e-04 2.368452702311845126e+00 1.000000000000000021e-03 9.933699999237433076e-03
5.000000000000000000e+00 1.764299021775592992e+05 1.764298074496896006e+05 9.472786970136540946e-03 0.000000000000000000e+00 1.008916693981961203e+03 9.556002845775648513e-01 1.210238940461669799e+01 6.944869708946422616e-03 6.999850117176967146e+00 1.000000000000000021e-03 9.666199999628588557e-03
6.000000000000000000e+00 2.470849569475909173e+08 2.470849567664864361e+08 1.811044683240062986e-02 0.000000000000000000e+00 5.997719958362820307e+02 1.815827883804445930e+00 2.638630192315648060e+01 2.502447421616448703e-02 1.498395437116652040e+01 1.000000000000000021e-03 1.099470000190194696e-02
7.000000000000000000e+00 1.408042038227395387e+05 1.408040652049605269e+05 1.386177790074975130e-02 0.000000000000000000e+00 7.514331677235747975e+02 1.382999963101951169e+00 1.910298837815454931e+01 1.455151917941618737e-02 1.091994263299980972e+01 1.000000000000000021e-03 1.069460000144317746e-02
8.000000000000000000e+00 2.499905428641395702e+05 2.499904989442990918e+05 4.391984048613450757e-03 0.000000000000000000e+00 1.700589024569832418e+03 4.431220908445013817e-01 4.249501664447456584e+00 1.509990295108132275e-03 2.566362932773121663e+00 1.000000000000000021e-03 1.065460000245366246e-02
9.000000000000000000e+00 9.388536147587463176e+01 9.388469365786474441e+01 6.678180098882124634e-05 0.000000000000000000e+00 2.088367305535812193e+04 5.331162447722459508e-02 1.632937016254108364e+00 4.164881006775205205e-05 8.697384837942110369e-01 1.000000000000000021e-03 1.100009999936446548e-02
1.000000000000000000e+01 5.773059051765937511e+03 5.773045266108936630e+03 1.378565700046907160e-03 0.000000000000000000e+00 7.577356592827549321e+03 2.061002793582651094e-01 6.473664865479423547e+00 4.543712137495613626e-04 3.442478340884227439e+00 1.000000000000000021e-03 9.863300001597963274e-03
1.100000000000000000e+01 5.271945755360584371e+03 5.271935173475514603e+03 1.058188506965361021e-03 0.000000000000000000e+00 9.311890227402300297e+03 1.650902270451229392e-01 5.294852127408019804e+00 3.020349490880608703e-04 2.812214255800044693e+00 1.000000000000000021e-03 1.315130000875797123e-02
1.200000000000000000e+01 5.484440573927375340e+01 5.484433127078187908e+01 7.446849187091515369e-06 0.000000000000000000e+00 3.192424026582161241e+04 3.398056804738096986e-02 8.680594148801964449e-01 1.466002860470407860e-05 4.679956154588744699e-01 1.000000000000000021e-03 9.518099992419593036e-03
1.300000000000000000e+01 2.636731232888635132e+05 2.636731017932132818e+05 2.149565020619530371e-03 0.000000000000000000e+00 2.872005029405635469e+03 2.210777092188334070e-01 1.717285245593322518e+00 3.759465324607409124e-04 1.079344385483033797e+00 1.000000000000000021e-03 1.226810000662226230e-02
