# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
1.000000000000000000e+00 1.275199506254497850e+00 1.589538572076320477e+01 1.234611632317668406e-02 7.470278203456018673e+02 9.210546250312923178e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+00 1.951790591229517924e+00 4.739516240578529960e+01 3.129596862745186864e-02 8.195743068205640611e+02 2.561807582549471718e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+00 1.561555958211966466e+00 3.845577668584980557e+01 2.016863454365645444e-02 1.030780951290301573e+03 2.076927566659321300e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+00 1.341887823789969791e-01 4.468968085556578984e+00 2.201228454415718710e-04 1.076068601786098588e+04 2.368452702311845126e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+00 9.556002845775648513e-01 1.210238940461669799e+01 6.944869708946422616e-03 1.008916693981961203e+03 6.999850117176967146e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.000000000000000000e+00 1.815827883804445930e+00 2.638630192315648060e+01 2.502447421616448703e-02 5.997719958362820307e+02 1.498395437116652040e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.000000000000000000e+00 1.382999963101951169e+00 1.910298837815454931e+01 1.455151917941618737e-02 7.514331677235747975e+02 1.091994263299980972e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.000000000000000000e+00 4.431220908445013817e-01 4.249501664447456584e+00 1.509990295108132275e-03 1.700589024569832418e+03 2.566362932773121663e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.000000000000000000e+00 5.331162447722459508e-02 1.632937016254108364e+00 4.164881006775205205e-05 2.088367305535812193e+04 8.697384837942110369e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.000000000000000000e+01 2.061002793582651094e-01 6.473664865479423547e+00 4.543712137495613626e-04 7.577356592827549321e+03 3.442478340884227439e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.100000000000000000e+01 1.650902270451229392e-01 5.294852127408019804e+00 3.020349490880608703e-04 9.311890227402300297e+03 2.812214255800044693e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.200000000000000000e+01 3.398056804738096986e-02 8.680594148801964449e-01 1.466002860470407860e-05 3.192424026582161241e+04 4.679956154588744699e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.300000000000000000e+01 2.210777092188334070e-01 1.717285245593322518e+00 3.759465324607409124e-04 2.872005029405635469e+03 1.079344385483033797e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.400000000000000000e+01 4.180860900931311352e-01 4.595089448479533267e+00 1.341574531909369523e-03 2.024211663043036879e+03 2.714289239800988796e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.500000000000000000e+01 3.433277199970805049e-01 3.487909862928356919e+00 9.064700526096395585e-04 2.302649321344552845e+03 2.086376181408649444e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.600000000000000000e+01 1.174021578631019025e-01 5.017690308673119493e-01 1.034802157175212031e-04 3.559005658640210640e+03 3.681831930810403053e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.700000000000000000e+01 4.220580155665674960e-02 1.395828493818575877e+00 2.662862551348572088e-05 2.779415137611774117e+04 7.400934198404311992e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.800000000000000000e+01 1.126289960770634896e-01 3.729923025897463607e+00 1.469715378747798442e-04 1.345560193231236372e+04 1.977443537487920455e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.900000000000000000e+01 9.090279996136876872e-02 3.070604524272496860e+00 1.004422667687465768e-04 1.619044566007374306e+04 1.626104619830848419e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+01 2.572303558372954907e-02 6.502964105891549940e-01 8.233287911742578850e-06 4.261617529109125462e+04 3.508630075903953482e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.100000000000000000e+01 1.155079924431686583e-01 6.264318685496310657e-01 1.017283095108006551e-04 4.214401367512453362e+03 4.286221984084734316e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
