# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
1.000000000000000000e+00 1.195591854820823530e+06 1.195590625948728295e+06 1.228872095192974911e-01 0.000000000000000000e+00 1.229079778806895092e+03 3.727675149192090087e-01 4.090024107098469308e+00 1.967146161020713168e-03 2.415812422307423102e+00 1.000000000000000021e-03 4.511682000011205673e-01
2.000000000000000000e+00 1.435210959207053238e+05 1.435153458597245335e+05 5.750060980803827215e-01 0.000000000000000000e+00 2.633173752942512692e+03 8.038111476381535336e-01 1.440880313857975636e+02 2.766540823944129909e-02 7.282016143229749616e+01 1.000000000000000021e-03 6.950250000227242708e-02
3.000000000000000000e+00 5.948335659366244078e+08 5.948335564227989912e+08 9.513825387089495100e-01 0.000000000000000000e+00 1.380979116429227133e+03 2.315050851862032744e+00 1.388054196666108169e+02 5.193254541792525353e-02 7.166582813974952160e+01 1.000000000000000021e-03 7.078650000039488077e-02
4.000000000000000000e+00 8.661810197410500223e+02 8.401133512262809973e+02 2.606766851476898239e+00 0.000000000000000000e+00 1.258373873452394065e+02 7.544795995574090419e+00 1.062829808323884180e+02 4.822595866940026510e-01 6.020402682507430114e+01 1.000000000000000021e-03 6.692610000027343631e-02
5.000000000000000000e+00 2.123763109869612435e+03 2.119104816674269841e+03 4.658293195342584903e-01 0.000000000000000000e+00 2.522701499635765003e+02 2.065736850167579686e+00 1.466730361767615243e+01 3.725921858120237462e-02 9.362129440424453719e+00 1.000000000000000021e-03 7.162929995683953166e-02
6.000000000000000000e+00 5.351868557719267905e+07 5.351868349550560117e+07 2.081687075674487353e-01 0.000000000000000000e+00 2.533662123326449489e+02 8.347593088858953347e-01 6.285656745609808027e+00 1.569896650808578001e-02 3.961888715182713128e+00 1.000000000000000021e-03 1.185141999740153551e-01
7.000000000000000000e+00 1.819783021466655191e+04 1.818888826372911717e+04 8.941950937434975932e-01 0.000000000000000000e+00 1.244279957774897696e+02 2.032464168914021041e+00 1.361053746052432878e+01 7.102688461670929321e-02 8.766706014559476401e+00 1.000000000000000021e-03 9.853100002510473132e-02
8.000000000000000000e+00 6.607593359570209577e+04 6.605501304681242618e+04 2.092054888966283777e+00 0.000000000000000000e+00 8.536566119020181986e+01 4.646259980096299813e+00 3.679879959813552404e+01 2.699640517961477415e-01 2.277569572736791415e+01 1.000000000000000021e-03 8.089979999931529164e-02
9.000000000000000000e+00 1.396037535276241215e+02 1.025943429075809092e+02 3.700941062004320159e+00 0.000000000000000000e+00 5.983530235578628265e+01 8.064616612130221185e+00 6.994167951239546710e+01 7.192318693809736097e-01 4.231622449894697979e+01 1.000000000000000021e-03 8.623409998835995793e-02
1.000000000000000000e+01 2.074226384619528574e+01 7.225324307810998548e-01 2.001973141541418588e+00 0.000000000000000000e+00 9.313516467285629119e+01 4.462449716308835690e+00 3.458201579069523746e+01 2.335686814756484098e-01 2.151988893018080518e+01 1.000000000000000021e-03 8.610499999485909939e-02
1.100000000000000000e+01 1.207315046534073701e+02 1.171924016774901247e+02 3.539102975917238214e-01 0.000000000000000000e+00 1.423899408221749923e+02 1.162649758604918260e+00 4.406808978307147129e+00 2.363969131753617878e-02 3.342414556440955309e+00 1.000000000000000021e-03 9.608210000442340970e-02
1.200000000000000000e+01 3.396264645386882819e+01 3.293111547762599400e+01 1.031530976242836101e-01 0.000000000000000000e+00 2.425814708235821513e+02 8.532032148841970365e-01 3.415825229110490024e+00 1.055775538314698662e-02 2.550558074056294977e+00 1.000000000000000021e-03 9.206029999768361449e-02
1.300000000000000000e+01 1.624771810083884702e+04 1.624143055247478696e+04 6.287548364059734052e-01 0.000000000000000000e+00 2.155767629319446428e+02 2.233481327133409078e+00 1.816972427934968692e+01 5.250261351396805914e-02 1.126584085329428575e+01 1.000000000000000021e-03 9.199330001138150692e-02
1.400000000000000000e+01 4.387260816869301721e+06 4.387244669642797671e+06 1.614722650419963434e+00 0.000000000000000000e+00 1.313827868381982853e+02 4.571057256931652546e+00 4.383768776123095989e+01 2.016238334947955402e-01 2.628827730405233609e+01 1.000000000000000021e-03 9.425719996215775609e-02
1.500000000000000000e+01 4.042699398296801373e+05 4.042414219990613055e+05 2.851783061882281256e+00 0.000000000000000000e+00 8.546314519472494453e+01 7.423613898146720125e+00 7.339188587007070907e+01 5.162407343265580373e-01 4.360331609885551529e+01 1.000000000000000021e-03 1.017575999721884727e-01
1.600000000000000000e+01 6.316798395610382613e+03 6.275015183580869234e+03 4.178321202951365443e+00 0.000000000000000000e+00 6.061596773897715451e+01 1.050542132658823391e+01 1.029116734128734407e+02 1.022193661905074880e+00 6.093906437111987628e+01 1.000000000000000021e-03 9.989130002213642001e-02
1.700000000000000000e+01 1.142824933982546827e+04 1.137316364250860352e+04 5.508569731686495885e+00 0.000000000000000000e+00 4.785850957761032021e+01 1.363303591264426906e+01 1.363170941530576954e+02 1.709029046475733171e+00 8.008255394269738758e+01 1.000000000000000021e-03 9.307730000000447035e-02
1.800000000000000000e+01 2.187709104970552744e+03 2.119783239138604586e+03 6.792586583194813343e+00 0.000000000000000000e+00 3.979928308118576297e+01 1.663976360701947499e+01 1.685337597145034465e+02 2.535388470652442106e+00 9.837125499361876280e+01 1.000000000000000021e-03 1.158123000059276819e-01
1.900000000000000000e+01 5.664947872179259139e+04 5.657162835940654622e+04 7.785036238604274850e+00 0.000000000000000000e+00 3.477321069243762253e+01 1.891739577054665844e+01 1.897721474192353526e+02 3.272734016042814442e+00 1.105307354641215198e+02 1.000000000000000021e-03 1.326253000297583640e-01
2.000000000000000000e+01 2.083351482490929243e+02 1.213829122005303134e+02 8.695223604856261446e+00 0.000000000000000000e+00 3.110635667113450964e+01 2.096075053196098992e+01 2.078774533950119405e+02 4.015239667889773045e+00 1.208842375615771800e+02 1.000000000000000021e-03 1.178920000093057752e-01
2.100000000000000000e+01 1.473975516475663426e+04 1.464967026437057939e+04 9.008490038605556194e+00 0.000000000000000000e+00 3.089048768938947021e+01 2.145701625612298002e+01 2.167065405027961162e+02 4.202273781262099384e+00 1.256080127262589485e+02 1.000000000000000021e-03 9.767829999327659607e-02
2.200000000000000000e+01 3.561000407685764367e+04 3.551819924802881724e+04 9.180482882882927242e+00 0.000000000000000000e+00 3.114342310259766222e+01 2.169133068807431286e+01 2.237321084801911866e+02 4.288461948713336191e+00 1.292689229794565620e+02 1.000000000000000021e-03 1.007249000249430537e-01
2.300000000000000000e+01 5.281924604633516537e+03 5.189689098515271326e+03 9.223550611824542500e+00 0.000000000000000000e+00 3.109215188505798366e+01 2.172182810635399974e+01 2.239958099247226073e+02 4.300755173300734313e+00 1.294189778954145709e+02 1.000000000000000021e-03 9.000059997197240591e-02
