# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
1.000000000000000000e+00 3.727675149192090087e-01 4.090024107098469308e+00 1.967146161020713168e-03 1.229079778806895092e+03 2.415812422307423102e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+00 8.038111476381535336e-01 1.440880313857975636e+02 2.766540823944129909e-02 2.633173752942512692e+03 7.282016143229749616e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+00 2.315050851862032744e+00 1.388054196666108169e+02 5.193254541792525353e-02 1.380979116429227133e+03 7.166582813974952160e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+00 7.544795995574090419e+00 1.062829808323884180e+02 4.822595866940026510e-01 1.258373873452394065e+02 6.020402682507430114e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+00 2.065736850167579686e+00 1.466730361767615243e+01 3.725921858120237462e-02 2.522701499635765003e+02 9.362129440424453719e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.000000000000000000e+00 8.347593088858953347e-01 6.285656745609808027e+00 1.569896650808578001e-02 2.533662123326449489e+02 3.961888715182713128e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.000000000000000000e+00 2.032464168914021041e+00 1.361053746052432878e+01 7.102688461670929321e-02 1.244279957774897696e+02 8.766706014559476401e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.000000000000000000e+00 4.646259980096299813e+00 3.679879959813552404e+01 2.699640517961477415e-01 8.536566119020181986e+01 2.277569572736791415e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.000000000000000000e+00 8.064616612130221185e+00 6.994167951239546710e+01 7.192318693809736097e-01 5.983530235578628265e+01 4.231622449894697979e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.000000000000000000e+01 4.462449716308835690e+00 3.458201579069523746e+01 2.335686814756484098e-01 9.313516467285629119e+01 2.151988893018080518e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
